Area|Ethnic group|Age group|Sex|Year|Value|Flags
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"10-14 years"|"Male"|"2018"|14925|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"10-14 years"|"Female"|"2018"|14136|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"10-14 years"|"Male"|"2018"|10938|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"10-14 years"|"Female"|"2018"|10332|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"10-14 years"|"Male"|"2018"|16563|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"10-14 years"|"Female"|"2018"|15462|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"10-14 years"|"Male"|"2018"|1617|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"10-14 years"|"Female"|"2018"|1464|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"10-14 years"|"Male"|"2018"|1407|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"10-14 years"|"Female"|"2018"|1293|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"10-14 years"|"Male"|"2018"|19026|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"10-14 years"|"Female"|"2018"|18189|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"10-14 years"|"Male"|"2018"|2649|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"10-14 years"|"Female"|"2018"|2532|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"10-14 years"|"Male"|"2018"|3180|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"10-14 years"|"Female"|"2018"|3156|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"10-14 years"|"Male"|"2018"|2466|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"10-14 years"|"Female"|"2018"|2451|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"10-14 years"|"Male"|"2018"|1743|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"10-14 years"|"Female"|"2018"|1593|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"10-14 years"|"Male"|"2018"|2832|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"10-14 years"|"Female"|"2018"|2766|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"10-14 years"|"Male"|"2018"|1194|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"10-14 years"|"Female"|"2018"|1086|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"10-14 years"|"Male"|"2018"|228|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"10-14 years"|"Female"|"2018"|180|
"Total - New Zealand by District Health Board"|"European only"|"10-14 years"|"Male"|"2018"|77643|
"Total - New Zealand by District Health Board"|"European only"|"10-14 years"|"Female"|"2018"|74799|
"Total - New Zealand by District Health Board"|"Maori only"|"10-14 years"|"Male"|"2018"|14925|
"Total - New Zealand by District Health Board"|"Maori only"|"10-14 years"|"Female"|"2018"|14136|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"10-14 years"|"Male"|"2018"|10938|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"10-14 years"|"Female"|"2018"|10332|
"Total - New Zealand by District Health Board"|"Asian only"|"10-14 years"|"Male"|"2018"|16563|
"Total - New Zealand by District Health Board"|"Asian only"|"10-14 years"|"Female"|"2018"|15462|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"10-14 years"|"Male"|"2018"|1617|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"10-14 years"|"Female"|"2018"|1464|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"10-14 years"|"Male"|"2018"|1407|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"10-14 years"|"Female"|"2018"|1293|
"Total - New Zealand by District Health Board"|"Maori/European"|"10-14 years"|"Male"|"2018"|19026|
"Total - New Zealand by District Health Board"|"Maori/European"|"10-14 years"|"Female"|"2018"|18189|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"10-14 years"|"Male"|"2018"|2649|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"10-14 years"|"Female"|"2018"|2532|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"10-14 years"|"Male"|"2018"|3180|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"10-14 years"|"Female"|"2018"|3156|
"Total - New Zealand by District Health Board"|"Asian/European"|"10-14 years"|"Male"|"2018"|2466|
"Total - New Zealand by District Health Board"|"Asian/European"|"10-14 years"|"Female"|"2018"|2451|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"10-14 years"|"Male"|"2018"|1743|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"10-14 years"|"Female"|"2018"|1593|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"10-14 years"|"Male"|"2018"|2832|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"10-14 years"|"Female"|"2018"|2766|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"10-14 years"|"Male"|"2018"|1194|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"10-14 years"|"Female"|"2018"|1086|
"Total - New Zealand by District Health Board"|"Four to six groups"|"10-14 years"|"Male"|"2018"|228|
"Total - New Zealand by District Health Board"|"Four to six groups"|"10-14 years"|"Female"|"2018"|180|
"Total - New Zealand by Regional Council/SA2"|"European only"|"0-4 years"|"Male"|"2018"|65814|
"Total - New Zealand by Regional Council/SA2"|"European only"|"0-4 years"|"Female"|"2018"|62415|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"0-4 years"|"Male"|"2018"|12783|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"0-4 years"|"Female"|"2018"|11781|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"0-4 years"|"Male"|"2018"|10224|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"0-4 years"|"Female"|"2018"|9570|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"0-4 years"|"Male"|"2018"|21153|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"0-4 years"|"Female"|"2018"|20319|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"0-4 years"|"Male"|"2018"|1809|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"0-4 years"|"Female"|"2018"|1755|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"0-4 years"|"Male"|"2018"|1098|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"0-4 years"|"Female"|"2018"|990|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"0-4 years"|"Male"|"2018"|20220|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"0-4 years"|"Female"|"2018"|19551|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"0-4 years"|"Male"|"2018"|3213|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"0-4 years"|"Female"|"2018"|2922|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"0-4 years"|"Male"|"2018"|3351|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"0-4 years"|"Female"|"2018"|3117|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"0-4 years"|"Male"|"2018"|3690|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"0-4 years"|"Female"|"2018"|3549|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"0-4 years"|"Male"|"2018"|2472|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"0-4 years"|"Female"|"2018"|2424|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"0-4 years"|"Male"|"2018"|3681|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"0-4 years"|"Female"|"2018"|3546|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"0-4 years"|"Male"|"2018"|1506|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"0-4 years"|"Female"|"2018"|1431|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"0-4 years"|"Male"|"2018"|255|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"0-4 years"|"Female"|"2018"|276|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"0-4 years"|"Male"|"2018"|65814|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"0-4 years"|"Female"|"2018"|62415|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"0-4 years"|"Male"|"2018"|12783|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"0-4 years"|"Female"|"2018"|11781|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"0-4 years"|"Male"|"2018"|10224|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"0-4 years"|"Female"|"2018"|9570|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"0-4 years"|"Male"|"2018"|21153|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"0-4 years"|"Female"|"2018"|20319|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"0-4 years"|"Male"|"2018"|1809|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"0-4 years"|"Female"|"2018"|1755|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"0-4 years"|"Male"|"2018"|1098|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"0-4 years"|"Female"|"2018"|990|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"0-4 years"|"Male"|"2018"|20220|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"0-4 years"|"Female"|"2018"|19551|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"25-29 years"|"Female"|"2018"|1080|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"25-29 years"|"Male"|"2018"|999|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"25-29 years"|"Female"|"2018"|1101|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"25-29 years"|"Male"|"2018"|408|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"25-29 years"|"Female"|"2018"|468|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"25-29 years"|"Female"|"2018"|75|
"Total - New Zealand by District Health Board"|"European only"|"25-29 years"|"Male"|"2018"|84600|
"Total - New Zealand by District Health Board"|"European only"|"25-29 years"|"Female"|"2018"|83667|
"Total - New Zealand by District Health Board"|"Maori only"|"25-29 years"|"Male"|"2018"|13665|
"Total - New Zealand by District Health Board"|"Maori only"|"25-29 years"|"Female"|"2018"|12699|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"25-29 years"|"Male"|"2018"|10644|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"25-29 years"|"Female"|"2018"|10287|
"Total - New Zealand by District Health Board"|"Asian only"|"25-29 years"|"Male"|"2018"|40302|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"25-29 years"|"Male"|"2018"|3456|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"25-29 years"|"Female"|"2018"|3522|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"25-29 years"|"Female"|"2018"|1236|
"Total - New Zealand by District Health Board"|"Maori/European"|"25-29 years"|"Male"|"2018"|12420|
"Total - New Zealand by District Health Board"|"Maori/European"|"25-29 years"|"Female"|"2018"|14466|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"25-29 years"|"Male"|"2018"|1203|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"25-29 years"|"Female"|"2018"|1332|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"25-29 years"|"Male"|"2018"|1932|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"25-29 years"|"Female"|"2018"|2109|
"Total - New Zealand by District Health Board"|"Asian/European"|"25-29 years"|"Female"|"2018"|1206|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"25-29 years"|"Male"|"2018"|1017|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"25-29 years"|"Female"|"2018"|1080|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"25-29 years"|"Male"|"2018"|999|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"25-29 years"|"Female"|"2018"|1101|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"25-29 years"|"Male"|"2018"|408|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"25-29 years"|"Female"|"2018"|468|
"Total - New Zealand by District Health Board"|"Four to six groups"|"25-29 years"|"Male"|"2018"|72|
"Total - New Zealand by District Health Board"|"Four to six groups"|"25-29 years"|"Female"|"2018"|75|
"Total - New Zealand by Regional Council/SA2"|"European only"|"5-9 years"|"Male"|"2018"|77049|
"Total - New Zealand by Regional Council/SA2"|"European only"|"5-9 years"|"Female"|"2018"|72957|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"5-9 years"|"Male"|"2018"|15081|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"5-9 years"|"Female"|"2018"|14049|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"5-9 years"|"Male"|"2018"|11664|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"5-9 years"|"Female"|"2018"|10920|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"5-9 years"|"Male"|"2018"|19680|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"5-9 years"|"Female"|"2018"|18555|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"5-9 years"|"Male"|"2018"|1836|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"5-9 years"|"Female"|"2018"|1728|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"5-9 years"|"Male"|"2018"|1530|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"0-4 years"|"Male"|"2018"|3213|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"0-4 years"|"Female"|"2018"|2922|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"0-4 years"|"Male"|"2018"|3351|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"0-4 years"|"Female"|"2018"|3117|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"0-4 years"|"Male"|"2018"|3690|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"0-4 years"|"Female"|"2018"|3549|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"0-4 years"|"Male"|"2018"|2472|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"0-4 years"|"Female"|"2018"|2424|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"0-4 years"|"Male"|"2018"|3681|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"0-4 years"|"Female"|"2018"|3546|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"0-4 years"|"Male"|"2018"|1506|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"0-4 years"|"Female"|"2018"|1431|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"0-4 years"|"Male"|"2018"|255|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"0-4 years"|"Female"|"2018"|276|
"Total - New Zealand by District Health Board"|"European only"|"0-4 years"|"Male"|"2018"|65814|
"Total - New Zealand by District Health Board"|"European only"|"0-4 years"|"Female"|"2018"|62415|
"Total - New Zealand by District Health Board"|"Maori only"|"0-4 years"|"Male"|"2018"|12783|
"Total - New Zealand by District Health Board"|"Maori only"|"0-4 years"|"Female"|"2018"|11781|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"0-4 years"|"Male"|"2018"|10224|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"0-4 years"|"Female"|"2018"|9570|
"Total - New Zealand by District Health Board"|"Asian only"|"0-4 years"|"Male"|"2018"|21153|
"Total - New Zealand by District Health Board"|"Asian only"|"0-4 years"|"Female"|"2018"|20319|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"0-4 years"|"Male"|"2018"|1809|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"0-4 years"|"Female"|"2018"|1755|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"0-4 years"|"Male"|"2018"|1098|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"0-4 years"|"Female"|"2018"|990|
"Total - New Zealand by District Health Board"|"Maori/European"|"0-4 years"|"Male"|"2018"|20220|
"Total - New Zealand by District Health Board"|"Maori/European"|"0-4 years"|"Female"|"2018"|19551|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"0-4 years"|"Male"|"2018"|3213|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"0-4 years"|"Female"|"2018"|2922|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"0-4 years"|"Male"|"2018"|3351|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"0-4 years"|"Female"|"2018"|3117|
"Total - New Zealand by District Health Board"|"Asian/European"|"0-4 years"|"Male"|"2018"|3690|
"Total - New Zealand by District Health Board"|"Asian/European"|"0-4 years"|"Female"|"2018"|3549|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"0-4 years"|"Male"|"2018"|2472|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"0-4 years"|"Female"|"2018"|2424|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"0-4 years"|"Male"|"2018"|3681|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"0-4 years"|"Female"|"2018"|3546|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"0-4 years"|"Male"|"2018"|1506|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"0-4 years"|"Female"|"2018"|1431|
"Total - New Zealand by District Health Board"|"Four to six groups"|"0-4 years"|"Male"|"2018"|255|
"Total - New Zealand by District Health Board"|"Four to six groups"|"0-4 years"|"Female"|"2018"|276|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"5-9 years"|"Female"|"2018"|1365|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"5-9 years"|"Male"|"2018"|21381|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"5-9 years"|"Female"|"2018"|20481|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"5-9 years"|"Male"|"2018"|3324|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"5-9 years"|"Female"|"2018"|2976|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"5-9 years"|"Male"|"2018"|3552|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"5-9 years"|"Female"|"2018"|3501|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"5-9 years"|"Male"|"2018"|3153|
