Area|Religious affiliation|Age group|Sex|Year|Value|Flags
"Devonport-Takapuna Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|78|
"Henderson-Massey Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|2016|
"Henderson-Massey Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|2082|
"Henderson-Massey Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|1617|
"Henderson-Massey Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|1446|
"Henderson-Massey Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|249|
"Henderson-Massey Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|234|
"Waitakere Ranges Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|654|
"Waitakere Ranges Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|651|
"Waitakere Ranges Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|1005|
"Waitakere Ranges Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|921|
"Waitakere Ranges Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|105|
"Waitakere Ranges Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|102|
"Great Barrier Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"||c
"Great Barrier Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"||c
"Great Barrier Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|12|
"Great Barrier Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|9|
"Great Barrier Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"||c
"Great Barrier Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"||c
"Waiheke Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|42|
"Waiheke Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|33|
"Waiheke Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|153|
"Waiheke Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|150|
"Waiheke Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|18|
"Waiheke Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|9|
"Waitemata Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|774|
"Waitemata Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|936|
"Waitemata Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|1461|
"Waitemata Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|1572|
"Waitemata Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|114|
"Waitemata Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|132|
"Whau Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|1425|
"Whau Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|1371|
"Whau Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|990|
"Whau Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|870|
"Whau Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|132|
"Whau Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|135|
"Puketapapa Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|1140|
"Puketapapa Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|1074|
"Puketapapa Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|624|
"Puketapapa Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|582|
"Puketapapa Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|114|
"Puketapapa Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|93|
"Orakei Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|1209|
"Orakei Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|1143|
"Orakei Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|1257|
"Orakei Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|1173|
"Orakei Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|141|
"Orakei Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|129|
"Howick Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|2448|
"Howick Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|2292|
"Howick Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|2391|
"Howick Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|2115|
"Howick Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|255|
"Howick Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|252|
"Mangere-Otahuhu Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|2619|
"Mangere-Otahuhu Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|2655|
"Mangere-Otahuhu Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|606|
"Mangere-Otahuhu Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|513|
"Mangere-Otahuhu Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|171|
"Mangere-Otahuhu Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|168|
"Manurewa Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|2358|
"Manurewa Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|2397|
"Manurewa Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|1059|
"Manurewa Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|969|
"Manurewa Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|249|
"Manurewa Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|213|
"Papakura Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|993|
"Papakura Local Board Area"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|921|
"Papakura Local Board Area"|"No religion"|"15-19 years"|"Male"|"2018"|837|
"Papakura Local Board Area"|"No religion"|"15-19 years"|"Female"|"2018"|783|
"Papakura Local Board Area"|"Object to answering"|"15-19 years"|"Male"|"2018"|120|
"Papakura Local Board Area"|"Object to answering"|"15-19 years"|"Female"|"2018"|114|
"Thames-Coromandel District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|156|
"Thames-Coromandel District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|147|
"Thames-Coromandel District"|"No religion"|"15-19 years"|"Male"|"2018"|486|
"Thames-Coromandel District"|"No religion"|"15-19 years"|"Female"|"2018"|462|
"Thames-Coromandel District"|"Object to answering"|"15-19 years"|"Male"|"2018"|42|
"Thames-Coromandel District"|"Object to answering"|"15-19 years"|"Female"|"2018"|42|
"Hauraki District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|138|
"Hauraki District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|123|
"Hauraki District"|"No religion"|"15-19 years"|"Male"|"2018"|411|
"Hauraki District"|"No religion"|"15-19 years"|"Female"|"2018"|366|
"Hauraki District"|"Object to answering"|"15-19 years"|"Male"|"2018"|51|
"Hauraki District"|"Object to answering"|"15-19 years"|"Female"|"2018"|36|
"Matamata-Piako District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|357|
"Matamata-Piako District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|318|
"Matamata-Piako District"|"No religion"|"15-19 years"|"Male"|"2018"|660|
"Matamata-Piako District"|"No religion"|"15-19 years"|"Female"|"2018"|594|
"Matamata-Piako District"|"Object to answering"|"15-19 years"|"Male"|"2018"|75|
"Matamata-Piako District"|"Object to answering"|"15-19 years"|"Female"|"2018"|60|
"Hamilton City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|2376|
"Hamilton City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|2559|
"Hamilton City"|"No religion"|"15-19 years"|"Male"|"2018"|3099|
"Hamilton City"|"No religion"|"15-19 years"|"Female"|"2018"|2922|
"Hamilton City"|"Object to answering"|"15-19 years"|"Male"|"2018"|381|
"Hamilton City"|"Object to answering"|"15-19 years"|"Female"|"2018"|276|
"Waipa District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|570|
"Waipa District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|582|
"Waipa District"|"No religion"|"15-19 years"|"Male"|"2018"|1074|
"Waipa District"|"No religion"|"15-19 years"|"Female"|"2018"|1038|
"Waipa District"|"Object to answering"|"15-19 years"|"Male"|"2018"|132|
"Waipa District"|"Object to answering"|"15-19 years"|"Female"|"2018"|99|
"Otorohanga District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|72|
"Otorohanga District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|78|
"Otorohanga District"|"No religion"|"15-19 years"|"Male"|"2018"|225|
"Otorohanga District"|"No religion"|"15-19 years"|"Female"|"2018"|210|
"Otorohanga District"|"Object to answering"|"15-19 years"|"Male"|"2018"|30|
"Otorohanga District"|"Object to answering"|"15-19 years"|"Female"|"2018"|18|
"South Waikato District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|243|
"South Waikato District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|276|
"South Waikato District"|"No religion"|"15-19 years"|"Male"|"2018"|471|
"South Waikato District"|"No religion"|"15-19 years"|"Female"|"2018"|426|
"South Waikato District"|"Object to answering"|"15-19 years"|"Male"|"2018"|69|
"South Waikato District"|"Object to answering"|"15-19 years"|"Female"|"2018"|42|
"Waitomo District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|81|
"Waitomo District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|87|
"Waitomo District"|"No religion"|"15-19 years"|"Male"|"2018"|201|
"Waitomo District"|"No religion"|"15-19 years"|"Female"|"2018"|177|
"Waitomo District"|"Object to answering"|"15-19 years"|"Male"|"2018"|24|
"Waitomo District"|"Object to answering"|"15-19 years"|"Female"|"2018"|27|
"Taupo District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|324|
"Taupo District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|357|
"Taupo District"|"No religion"|"15-19 years"|"Male"|"2018"|669|
"Taupo District"|"No religion"|"15-19 years"|"Female"|"2018"|600|
"Taupo District"|"Object to answering"|"15-19 years"|"Male"|"2018"|84|
"Taupo District"|"Object to answering"|"15-19 years"|"Female"|"2018"|60|
"Tauranga City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|1332|
"Tauranga City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|1329|
"Tauranga City"|"No religion"|"15-19 years"|"Male"|"2018"|2382|
"Tauranga City"|"No religion"|"15-19 years"|"Female"|"2018"|2145|
"Tauranga City"|"Object to answering"|"15-19 years"|"Male"|"2018"|282|
"Tauranga City"|"Object to answering"|"15-19 years"|"Female"|"2018"|234|
"Rotorua District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|867|
"Rotorua District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|819|
"Rotorua District"|"No religion"|"15-19 years"|"Male"|"2018"|1482|
"Rotorua District"|"No religion"|"15-19 years"|"Female"|"2018"|1341|
"Rotorua District"|"Object to answering"|"15-19 years"|"Male"|"2018"|180|
"Rotorua District"|"Object to answering"|"15-19 years"|"Female"|"2018"|141|
"Kawerau District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|87|
"Kawerau District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|75|
"Kawerau District"|"No religion"|"15-19 years"|"Male"|"2018"|135|
"Kawerau District"|"No religion"|"15-19 years"|"Female"|"2018"|120|
"Kawerau District"|"Object to answering"|"15-19 years"|"Male"|"2018"|30|
"Kawerau District"|"Object to answering"|"15-19 years"|"Female"|"2018"|27|
"Opotiki District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|120|
"Opotiki District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|123|
"Opotiki District"|"No religion"|"15-19 years"|"Male"|"2018"|144|
"Opotiki District"|"No religion"|"15-19 years"|"Female"|"2018"|120|
"Opotiki District"|"Object to answering"|"15-19 years"|"Male"|"2018"|21|
"Opotiki District"|"Object to answering"|"15-19 years"|"Female"|"2018"|21|
"Wairoa District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|132|
"Wairoa District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|153|
"Wairoa District"|"No religion"|"15-19 years"|"Male"|"2018"|123|
"Wairoa District"|"No religion"|"15-19 years"|"Female"|"2018"|96|
"Wairoa District"|"Object to answering"|"15-19 years"|"Male"|"2018"|24|
"Wairoa District"|"Object to answering"|"15-19 years"|"Female"|"2018"|24|
"Hastings District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|1098|
"Hastings District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|1122|
"Hastings District"|"No religion"|"15-19 years"|"Male"|"2018"|1494|
"Hastings District"|"No religion"|"15-19 years"|"Female"|"2018"|1398|
"Hastings District"|"Object to answering"|"15-19 years"|"Male"|"2018"|180|
"Hastings District"|"Object to answering"|"15-19 years"|"Female"|"2018"|174|
"Central Hawke's Bay District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|135|
"Central Hawke's Bay District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|123|
"Central Hawke's Bay District"|"No religion"|"15-19 years"|"Male"|"2018"|267|
"Central Hawke's Bay District"|"No religion"|"15-19 years"|"Female"|"2018"|207|
"Central Hawke's Bay District"|"Object to answering"|"15-19 years"|"Male"|"2018"|24|
"Central Hawke's Bay District"|"Object to answering"|"15-19 years"|"Female"|"2018"|21|
"New Plymouth District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|744|
"New Plymouth District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|720|
"New Plymouth District"|"No religion"|"15-19 years"|"Male"|"2018"|1605|
"New Plymouth District"|"No religion"|"15-19 years"|"Female"|"2018"|1437|
"New Plymouth District"|"Object to answering"|"15-19 years"|"Male"|"2018"|183|
"New Plymouth District"|"Object to answering"|"15-19 years"|"Female"|"2018"|126|
"South Taranaki District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|288|
"South Taranaki District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|258|
"South Taranaki District"|"No religion"|"15-19 years"|"Male"|"2018"|537|
"South Taranaki District"|"No religion"|"15-19 years"|"Female"|"2018"|486|
"South Taranaki District"|"Object to answering"|"15-19 years"|"Male"|"2018"|66|
"South Taranaki District"|"Object to answering"|"15-19 years"|"Female"|"2018"|66|
"Ruapehu District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|135|
"Ruapehu District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|117|
"Ruapehu District"|"No religion"|"15-19 years"|"Male"|"2018"|207|
"Ruapehu District"|"No religion"|"15-19 years"|"Female"|"2018"|195|
"Ruapehu District"|"Object to answering"|"15-19 years"|"Male"|"2018"|33|
"Ruapehu District"|"Object to answering"|"15-19 years"|"Female"|"2018"|21|
"Whanganui District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|534|
"Whanganui District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|489|
"Whanganui District"|"No religion"|"15-19 years"|"Male"|"2018"|807|
"Whanganui District"|"No religion"|"15-19 years"|"Female"|"2018"|783|
"Whanganui District"|"Object to answering"|"15-19 years"|"Male"|"2018"|120|
"Whanganui District"|"Object to answering"|"15-19 years"|"Female"|"2018"|84|
"Rangitikei District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|162|
"Rangitikei District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|162|
"Rangitikei District"|"No religion"|"15-19 years"|"Male"|"2018"|261|
"Rangitikei District"|"No religion"|"15-19 years"|"Female"|"2018"|225|
"Rangitikei District"|"Object to answering"|"15-19 years"|"Male"|"2018"|30|
"Rangitikei District"|"Object to answering"|"15-19 years"|"Female"|"2018"|39|
"Manawatu District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|246|
"Manawatu District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|249|
"Manawatu District"|"No religion"|"15-19 years"|"Male"|"2018"|639|
"Manawatu District"|"No religion"|"15-19 years"|"Female"|"2018"|555|
"Manawatu District"|"Object to answering"|"15-19 years"|"Male"|"2018"|93|
"Manawatu District"|"Object to answering"|"15-19 years"|"Female"|"2018"|63|
"Palmerston North City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|1074|
"Palmerston North City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|1143|
"Palmerston North City"|"No religion"|"15-19 years"|"Male"|"2018"|1851|
"Palmerston North City"|"No religion"|"15-19 years"|"Female"|"2018"|1914|
"Palmerston North City"|"Object to answering"|"15-19 years"|"Male"|"2018"|216|
"Palmerston North City"|"Object to answering"|"15-19 years"|"Female"|"2018"|171|
"Tararua District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|165|
"Tararua District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|168|
"Tararua District"|"No religion"|"15-19 years"|"Male"|"2018"|357|
"Tararua District"|"No religion"|"15-19 years"|"Female"|"2018"|294|
"Tararua District"|"Object to answering"|"15-19 years"|"Male"|"2018"|45|
"Tararua District"|"Object to answering"|"15-19 years"|"Female"|"2018"|24|
"Kapiti Coast District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|417|
"Kapiti Coast District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|426|
"Kapiti Coast District"|"No religion"|"15-19 years"|"Male"|"2018"|1017|
"Kapiti Coast District"|"No religion"|"15-19 years"|"Female"|"2018"|894|
"Kapiti Coast District"|"Object to answering"|"15-19 years"|"Male"|"2018"|111|
"Kapiti Coast District"|"Object to answering"|"15-19 years"|"Female"|"2018"|93|
"Porirua City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|942|
"Porirua City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|972|
"Porirua City"|"No religion"|"15-19 years"|"Male"|"2018"|897|
"Porirua City"|"No religion"|"15-19 years"|"Female"|"2018"|822|
"Porirua City"|"Object to answering"|"15-19 years"|"Male"|"2018"|129|
"Porirua City"|"Object to answering"|"15-19 years"|"Female"|"2018"|114|
"Lower Hutt City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|1419|
"Lower Hutt City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|1434|
"Lower Hutt City"|"No religion"|"15-19 years"|"Male"|"2018"|1689|
"Lower Hutt City"|"No religion"|"15-19 years"|"Female"|"2018"|1626|
"Lower Hutt City"|"Object to answering"|"15-19 years"|"Male"|"2018"|204|
"Lower Hutt City"|"Object to answering"|"15-19 years"|"Female"|"2018"|189|
"Wellington City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|2448|
"Wellington City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|2673|
"Wellington City"|"No religion"|"15-19 years"|"Male"|"2018"|3966|
"Wellington City"|"No religion"|"15-19 years"|"Female"|"2018"|4644|
"Wellington City"|"Object to answering"|"15-19 years"|"Male"|"2018"|438|
"Wellington City"|"Object to answering"|"15-19 years"|"Female"|"2018"|315|
"Carterton District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|63|
"Carterton District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|78|
"Carterton District"|"No religion"|"15-19 years"|"Male"|"2018"|192|
"Carterton District"|"No religion"|"15-19 years"|"Female"|"2018"|165|
"Carterton District"|"Object to answering"|"15-19 years"|"Male"|"2018"|12|
"Carterton District"|"Object to answering"|"15-19 years"|"Female"|"2018"|12|
"South Wairarapa District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|66|
"South Wairarapa District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|66|
"South Wairarapa District"|"No religion"|"15-19 years"|"Male"|"2018"|165|
"South Wairarapa District"|"No religion"|"15-19 years"|"Female"|"2018"|150|
"South Wairarapa District"|"Object to answering"|"15-19 years"|"Male"|"2018"|15|
"South Wairarapa District"|"Object to answering"|"15-19 years"|"Female"|"2018"|12|
"Nelson City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|423|
"Nelson City"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|432|
"Nelson City"|"No religion"|"15-19 years"|"Male"|"2018"|990|
"Nelson City"|"No religion"|"15-19 years"|"Female"|"2018"|915|
"Nelson City"|"Object to answering"|"15-19 years"|"Male"|"2018"|108|
"Nelson City"|"Object to answering"|"15-19 years"|"Female"|"2018"|93|
"Marlborough District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|330|
"Marlborough District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|306|
"Marlborough District"|"No religion"|"15-19 years"|"Male"|"2018"|843|
"Marlborough District"|"No religion"|"15-19 years"|"Female"|"2018"|723|
"Marlborough District"|"Object to answering"|"15-19 years"|"Male"|"2018"|90|
"Marlborough District"|"Object to answering"|"15-19 years"|"Female"|"2018"|75|
"Buller District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|78|
"Buller District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|51|
"Buller District"|"No religion"|"15-19 years"|"Male"|"2018"|141|
"Buller District"|"No religion"|"15-19 years"|"Female"|"2018"|144|
"Buller District"|"Object to answering"|"15-19 years"|"Male"|"2018"|15|
"Buller District"|"Object to answering"|"15-19 years"|"Female"|"2018"|12|
"Grey District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|132|
"Grey District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|126|
"Grey District"|"No religion"|"15-19 years"|"Male"|"2018"|273|
"Grey District"|"No religion"|"15-19 years"|"Female"|"2018"|231|
"Grey District"|"Object to answering"|"15-19 years"|"Male"|"2018"|30|
"Grey District"|"Object to answering"|"15-19 years"|"Female"|"2018"|24|
"Westland District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|66|
"Westland District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|54|
"Westland District"|"No religion"|"15-19 years"|"Male"|"2018"|138|
"Westland District"|"No religion"|"15-19 years"|"Female"|"2018"|117|
"Westland District"|"Object to answering"|"15-19 years"|"Male"|"2018"|12|
"Westland District"|"Object to answering"|"15-19 years"|"Female"|"2018"|18|
"Hurunui District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Male"|"2018"|87|
"Hurunui District"|"Total people - with at least one religious affiliation"|"15-19 years"|"Female"|"2018"|75|
"Hurunui District"|"No religion"|"15-19 years"|"Male"|"2018"|201|
