Area,Year at 30 June,Measure,Value,Flags
"Southland district","2018","Population",31800,
"Southland district","2013","Median age",38.7,
"Southland district","2018","Median age",39.1,
"Gore district","2013","Population",12400,
"Gore district","2018","Population",12750,
"Gore district","2013","Median age",42.5,
"Gore district","2018","Median age",43.5,
"Invercargill city","2013","Population",53200,
"Invercargill city","2018","Population",55800,
"Invercargill city","2013","Median age",38.8,
"Invercargill city","2018","Median age",39.4,
"Total NZ by territorial authority","2013","Population",4442100,
"Total NZ by territorial authority","2018","Population",4841000,
"Total NZ by territorial authority","2013","Median age",37.6,
"Total NZ by territorial authority","2018","Median age",37.3,
